stop_id,mean_late_minutes,max_late_minutes,late_rate,observations,mean_speed,cluster_id,severity_rank,stop_name,stop_lat,stop_lon
60494,13.275,26.55,0.5,2,17.685,1,1,El Camino & Castro,37.386201,-122.08449
60694,8.525,13.37,0.5,2,0.005,1,1,Showers & California,37.402558,-122.106785
60501,6.9875,15.6,0.5,4,15.85,1,1,El Camino & San Antonio,37.401909,-122.114499
60457,5.199999999999999,6.02,0.5,2,24.84,1,1,The Alameda & Portola,37.344724,-121.932449
60815,4.333333333333333,10.37,0.3333333333333333,3,14.296666666666667,1,1,Bascom & Fruitdale,37.311054,-121.931625
60500,4.2,16.8,0.25,4,24.2,1,1,El Camino & Showers,37.399736,-122.110435
60431,3.975,7.95,0.5,2,15.0,1,1,Santa Clara & 24th,37.346982,-121.86802
65220,2.73,5.08,0.5,2,4.305,1,1,Main & Great Mall Pkwy,37.413387,-121.901835
60348,2.55,5.1,0.5,2,25.21,1,1,El Camino & Jordan,37.398205,-122.10783
60697,2.183333333333333,6.55,0.3333333333333333,3,2.01,1,1,Stelling & Stevens Creek,37.321797,-122.041613
65805,1.8099999999999998,5.43,0.3333333333333333,3,5.666666666666667,1,1,Eastridge Transit Center (Bay 11),37.327649,-121.811316
60412,1.8375,5.55,0.25,4,1.135,2,2,Santa Clara & 1st,37.33637,-121.889995
66033,1.45,5.8,0.25,4,0.0,2,2,Clove & Ginger,37.312435,-121.937295
64477,1.3875,5.55,0.25,4,8.2875,2,2,Lockheed Martin Transit Center (Bay 6),37.410353,-122.027516
65320,1.0166666666666666,6.1,0.16666666666666666,6,0.005,2,2,Alum Rock Station (Bay 7),37.357749,-121.832563
65047,0.745,5.1,0.125,8,1.87625,2,2,Alum Rock Station (Bay 3),37.358276,-121.832781
62943,0.7383333333333333,4.43,0.0,6,2.2866666666666666,2,2,7th & Santa Clara,37.338455,-121.883729
60413,0.5780000000000001,1.97,0.0,5,1.3279999999999998,2,2,Santa Clara & 6th,37.338508,-121.885378
60519,0.4428571428571429,3.1,0.0,7,1.377142857142857,2,2,Palo Alto Transit Center (Bay 1),37.443772,-122.166034
65882,0.25833333333333336,1.55,0.0,6,5.723333333333334,2,2,Milpitas BART (Bay 6),37.410137,-121.891603
65809,0.22000000000000003,1.1,0.0,5,3.5340000000000003,2,2,Eastridge Transit Center (Bay 7),37.327552,-121.810977
63352,0.0,0.0,0.0,5,0.0,2,2,Gilroy Transit Center (Bay 6),37.003901,-121.566615
65812,0.0,0.0,0.0,11,0.8272727272727273,2,2,Eastridge Transit Center (Bay 5),37.327199,-121.810455
65811,3.265,3.43,0.0,2,9.07,0,3,Eastridge Transit Center (Bay 1),37.327845,-121.811033
60382,2.5100000000000002,4.62,0.0,2,10.0,0,3,El Camino & Scott,37.352226,-121.960979
60645,2.2,2.87,0.0,2,17.99,0,3,Stevens Creek & Saratoga,37.323324,-121.970373
60742,1.965,2.35,0.0,2,31.759999999999998,0,3,Willow & Carolyn,37.306583,-121.905062
60995,1.9,3.8,0.0,2,0.0,0,3,Prospect & Saratoga,37.292096,-121.993697
63279,1.9,3.8,0.0,2,6.225,0,3,Monterey & Curtner / Tully,37.30457,-121.862393
64585,1.77,3.02,0.0,2,0.0,0,3,Montague & Great Mall Pkwy,37.409034,-121.895365
65868,1.49,1.55,0.0,2,0.24,0,3,Berryessa BART (Bay 8),37.37,-121.874891
63027,1.415,2.83,0.0,2,0.0,0,3,Alum Rock & McCreery,37.354332,-121.852023
63591,1.4,2.8,0.0,2,10.25,0,3,Senter & Monterey,37.278172,-121.834118
66001,1.3575,2.73,0.0,4,18.665,0,3,San Carlos & Meridian,37.323619,-121.913369
60410,1.22,2.48,0.0,3,17.506666666666664,0,3,Santa Clara & Almaden Blvd,37.33396,-121.894948
60765,1.175,2.35,0.0,2,9.5,0,3,Story & Karl,37.345555,-121.834503
61130,1.11,1.6,0.0,2,25.475,0,3,Cottle Park & Ride,37.242189,-121.803716
65840,1.075,1.7,0.0,2,2.025,0,3,6th & Santa Clara,37.339011,-121.885381
60446,1.06,1.85,0.0,2,5.109999999999999,0,3,The Alameda & Bush,37.331943,-121.904593
65810,0.99,1.55,0.0,2,0.475,0,3,Eastridge Transit Center (Bay 6),37.327736,-121.811137
60332,0.96,1.52,0.0,2,20.925,0,3,El Camino & Churchill,37.432227,-122.154564
60370,0.7833333333333333,1.8,0.0,3,13.700000000000001,0,3,El Camino & Wolfe,37.352608,-122.013399
